Nome;Apagar;Contínuo;Nulo
PUBCSNUM;x;;
REG;;;
MAR_STAT;;;9
NHIADE;;;
SEX;;;
AGE_DX;;;999
YR_BRTH;;;
SEQ_NUM;;;
MDXRECMP;;;
YEAR_DX;;;
PRIMSITE;;;
LATERAL;;;
HISTO2V;;;
BEHO2V;;;
HISTO3V;;;
BEHO3V;;;
GRADE;;;9
DX_CONF;;;9
REPT_SRC;;;7
eod13_sz;;;--
eod4_sz;;;99
EOD10_SZ;;;999
CSTUMSIZ;;;999
TUMSIZS;;;999
eod13_ex;;;
eod4_extent;;;9
EOD10_EX;;;99
CSEXTEN;;;999
EOD10_PE;;;99
edo4_nd;;;9
EOD10_ND;;;9
EOD10_PN;;;99
EOD10_NE;;;99
eod13_psv;;;-
eod13_ss;;;
eod13_nd;;;
eod13_dnd;;;
eod13_dss;;;
EOD2;;;
EOD_CODE;x;;
TUMOR_1V;;;9
TUMOR_2V;;;9
TUMOR_3V;;;9
CSLYMPHN;;;999
CS1SITE;;;999
CS2SITE;;;999
CS3SITE;;;999
CS4SITE;;;999
CS5SITE;;;999
CS6SITE;;;999
CS7SITE;;;999
CS8SITE;;;999
CS9SITE;;;999
CS12SITE;;;999
CS10SITE;;;999
CS11SITE;;;999
CS13SITE;;;999
CS15SITE;;;999
CS16SITE;;;999
CS25SITE;;;999
HST_STGA;;;9
SSS77VZ;;;9
SSSM2KPZ;;;9
DSS1977S;;;9
SCSSM2KO;;;9
SUMM2K;;;9
CSVFIRST;x;;
CSVLATES;x;;
CSVCURRENT;x;;
SURGPRIF;;;99
SURGSCOF;;;9
SURGSITF;;;9
NUMNODES;;;99
NO_SURG;;;6
SS_SURG;;;9
SURGSCOP;;;9
SURGSITE;;;9
REC_NO;;;
TYPE_FU;;;1
AGE_1REC;;;99
SITERWHO;;;99999
ICDOTO9V;x;;
ICDOT10V;x;;
ICCC3WHO;x;;999
ICCC3XWHO;;;
BEHTREND;;;
HISTREC;;;
HISTRECB;;;
CS0204SCHEMA;;;
CSSCHEMA;;;
RACE1V;;;99
RAC_RECA;x;;9
RAC_RECY;x;;9
ORIGRECB;;;9
FIRSTPRM;;;
ST_CNTY;;;
CODPUB;;;99999
CODPUBKM;;;99999
STAT_REC;;;
IHSLINK;x;;
AYASITERWHO;;;99
LYMSUBRWHO;;;99
VSRTSADX;;;9
ODTHCLASS;;;9
CSTSEVAL;;;9
CSRGEVAL;;;9
CSMTEVAL;;;9
INTPRIM;x;;
ERSTATUS;;;9
PRSTATUS;;;99
VASINV;;;9
SRV_TIME_MON;;;9999
SRV_TIME_MON_FLAG;;;9
INSREC_PUB;;;5
HER2;;;9
BRST_SUB;;;5, 9
CSMETSDX;;;99
SCMETSDXB_PUB;;;9
SCMETSDXBR_PUB;;;9
SCMETSDXLIV_PUB;;;9
SCMETSDXLUNG_PUB;;;9
METSDXLN;;;9
METSDXO;;;9
MALIGCOUNT;;;99
BENBORDCOUNT;;;99
DAJCC7T;;;999
DAJCCT;;;99
ADJTM_6VALUE;;;99
T_VALUE;;;99
DASRCT;;;
DAJCC7N;;;999
DAJCCN;;;99
ADJNM_6VALUE;;;99
N_VALUE;;;99
DASRCN;;;
DAJCC7M;;;999
DAJCCM;;;99
ADJM_6VALUE;;;99
M_VALUE;;;99
DASRCM;;;
DAJCC7STG;;;999
DAJCCSTG;;;99
ADJAJCCSTG;;;99
DSRPSG;;;99
AJ_3SEER;;;99
AJCC_STG;x;;99
ANNARBOR;;;9
DASRCTS;;;9
DASRCNS;;;9
DASRCMS;;;9
TNMEDNUM;x;;
RADIATNR;;;
RAD_BRNR;;;
RAD_SURG;;;
CHEMO_RX_REC;;;
DAJCCFL;;;
